province,electoral_district,electoral_district_number_numero_de_circonscription,population,electors_electeurs,polling_stations_bureaux_de_scrutin,valid_ballots_bulletins_valides,percentage_of_valid_ballots_pourcentage_des_bulletins_valides,rejected_ballots_bulletins_rejetes,percentage_of_rejected_ballots_pourcentage_des_bulletins_rejetes,total_ballots_cast_total_des_bulletins_deposes,percentage_of_voter_turnout_pourcentage_de_la_participation_electorale,party,elected_party
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,10001,86494,70903,230,37144,99.3,273,0.7,37417,52.8,Libéral,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Bonavista--Burin--Trinity,10002,74116,59605,273,29991,98.4,482,1.6,30473,51.1,Libéral,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Coast of Bays--Central--Notre Dame,10003,77680,63631,244,31834,97.9,695,2.1,32529,51.1,Conservateur,Conservative
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Labrador,10004,27197,20239,87,9653,99,94,1,9747,48.2,Libéral,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Long Range Mountains,10005,86553,70208,263,36447,98.8,461,1.2,36908,52.6,Libéral,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's East/St. John's-Est,10006,85697,66963,179,38171,99.2,296,0.8,38467,57.4,Libéral,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,10007,81979,66677,205,34676,98.8,414,1.2,35090,52.6,Libéral,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Cardigan,11001,36615,30843,93,22094,99.1,199,0.9,22293,72.3,Libéral,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Charlottetown,11002,36094,27383,71,19100,99,198,1,19298,70.5,Libéral,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Egmont,11003,34168,28729,97,19561,98.8,244,1.2,19805,68.9,Libéral,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Malpeque,11004,36030,32009,87,23707,99.3,174,0.7,23881,74.6,Libéral,Liberal
Nova Scotia/Nouvelle-Écosse,Cape Breton--Canso,12001,71913,60651,212,39360,99.1,350,0.9,39710,65.5,Libéral,Liberal
Nova Scotia/Nouvelle-Écosse,Central Nova/Nova-Centre,12002,71962,62193,230,40474,99.4,236,0.6,40710,65.5,Libéral,Liberal
Nova Scotia/Nouvelle-Écosse,Cumberland--Colchester,12003,80590,67768,216,40417,99.3,279,0.7,40696,60.1,Conservateur,Conservative
Nova Scotia/Nouvelle-Écosse,Dartmouth--Cole Harbour,12004,92301,75898,207,45628,98.3,796,1.7,46424,61.2,Libéral,Liberal
Nova Scotia/Nouvelle-Écosse,Halifax,12005,94610,78065,182,51248,99.4,322,0.6,51570,66.1,Libéral,Liberal
Nova Scotia/Nouvelle-Écosse,Halifax West/Halifax-Ouest,12006,96255,79173,259,51031,99.6,191,0.4,51222,64.7,Libéral,Liberal
Nova Scotia/Nouvelle-Écosse,Kings--Hants,12007,83465,72312,226,44956,99.4,251,0.6,45207,62.5,Libéral,Liberal
Nova Scotia/Nouvelle-Écosse,Sackville--Preston--Chezzetcook,12008,86498,72440,196,45606,99.5,252,0.5,45858,63.3,Libéral,Liberal
Nova Scotia/Nouvelle-Écosse,South Shore--St. Margarets,12009,91830,80138,268,50004,99.2,400,0.8,50404,62.9,Conservateur,Conservative
Nova Scotia/Nouvelle-Écosse,Sydney--Victoria,12010,72148,59786,203,36312,98.7,472,1.3,36784,61.5,Libéral,Liberal
Nova Scotia/Nouvelle-Écosse,West Nova/Nova-Ouest,12011,82026,70823,241,43871,99.4,284,0.6,44155,62.3,Conservateur,Conservative
New Brunswick/Nouveau-Brunswick,Acadie--Bathurst,13001,77791,67137,216,42922,98.8,511,1.2,43433,64.7,Libéral,Liberal
New Brunswick/Nouveau-Brunswick,Beauséjour,13002,82292,73081,200,49145,99.4,294,0.6,49439,67.6,Libéral,Liberal
New Brunswick/Nouveau-Brunswick,Fredericton,13003,83303,66921,152,44062,99.3,301,0.7,44363,66.3,Libéral,Liberal
New Brunswick/Nouveau-Brunswick,Fundy Royal,13004,79943,67030,198,44382,99.5,213,0.5,44595,66.5,Conservateur,Conservative
