LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
OECD,QGDP,TOT,PC_CHGPP,A,1962,5.700101331,NA
OECD,QGDP,TOT,PC_CHGPP,A,1963,5.177635122,NA
OECD,QGDP,TOT,PC_CHGPP,A,1964,6.397779994,NA
OECD,QGDP,TOT,PC_CHGPP,A,1965,5.372413742,NA
OECD,QGDP,TOT,PC_CHGPP,A,1966,5.731405739,NA
OECD,QGDP,TOT,PC_CHGPP,A,1967,3.961377845,NA
OECD,QGDP,TOT,PC_CHGPP,A,1968,5.920305593,NA
OECD,QGDP,TOT,PC_CHGPP,A,1969,5.570686648,NA
OECD,QGDP,TOT,PC_CHGPP,A,1970,3.940649256,NA
OECD,QGDP,TOT,PC_CHGPP,A,1971,3.707204142,NA
OECD,QGDP,TOT,PC_CHGPP,A,1972,5.479161505,NA
OECD,QGDP,TOT,PC_CHGPP,A,1973,6.108930514,NA
OECD,QGDP,TOT,PC_CHGPP,A,1974,1.067701751,NA
OECD,QGDP,TOT,PC_CHGPP,A,1975,0.467217115,NA
OECD,QGDP,TOT,PC_CHGPP,A,1976,4.91134057,NA
OECD,QGDP,TOT,PC_CHGPP,A,1977,3.681113349,NA
OECD,QGDP,TOT,PC_CHGPP,A,1978,4.434177093,NA
OECD,QGDP,TOT,PC_CHGPP,A,1979,3.911099275,NA
OECD,QGDP,TOT,PC_CHGPP,A,1980,1.296973888,NA
OECD,QGDP,TOT,PC_CHGPP,A,1981,2.281505799,NA
OECD,QGDP,TOT,PC_CHGPP,A,1982,0.202647627,NA
OECD,QGDP,TOT,PC_CHGPP,A,1983,2.810370909,NA
OECD,QGDP,TOT,PC_CHGPP,A,1984,4.771347206,NA
OECD,QGDP,TOT,PC_CHGPP,A,1985,3.850915259,NA
OECD,QGDP,TOT,PC_CHGPP,A,1986,2.876298492,NA
OECD,QGDP,TOT,PC_CHGPP,A,1987,3.605429226,NA
OECD,QGDP,TOT,PC_CHGPP,A,1988,4.574430658,NA
OECD,QGDP,TOT,PC_CHGPP,A,1989,3.858215419,NA
OECD,QGDP,TOT,PC_CHGPP,A,1990,3.215305739,NA
OECD,QGDP,TOT,PC_CHGPP,A,1991,1.450862709,NA
OECD,QGDP,TOT,PC_CHGPP,A,1992,2.255389765,NA
OECD,QGDP,TOT,PC_CHGPP,A,1993,1.485539789,NA
OECD,QGDP,TOT,PC_CHGPP,A,1994,2.989720438,NA
OECD,QGDP,TOT,PC_CHGPP,A,1995,2.5324304,NA
OECD,QGDP,TOT,PC_CHGPP,A,1996,3.183534766,NA
OECD,QGDP,TOT,PC_CHGPP,A,1997,3.683943433,NA
OECD,QGDP,TOT,PC_CHGPP,A,1998,2.938914415,NA
OECD,QGDP,TOT,PC_CHGPP,A,1999,3.276049638,NA
OECD,QGDP,TOT,PC_CHGPP,A,2000,4.149363764,NA
OECD,QGDP,TOT,PC_CHGPP,A,2001,1.370353088,NA
OECD,QGDP,TOT,PC_CHGPP,A,2002,1.613393072,NA
OECD,QGDP,TOT,PC_CHGPP,A,2003,2.080861635,NA
OECD,QGDP,TOT,PC_CHGPP,A,2004,3.344710354,NA
OECD,QGDP,TOT,PC_CHGPP,A,2005,2.880580507,NA
OECD,QGDP,TOT,PC_CHGPP,A,2006,3.163752725,NA
OECD,QGDP,TOT,PC_CHGPP,A,2007,2.721756925,NA
OECD,QGDP,TOT,PC_CHGPP,A,2008,0.435658633,NA
OECD,QGDP,TOT,PC_CHGPP,A,2009,-3.456695232,NA
OECD,QGDP,TOT,PC_CHGPP,A,2010,3.09950055,NA
OECD,QGDP,TOT,PC_CHGPP,A,2011,2.081855367,NA
OECD,QGDP,TOT,PC_CHGPP,A,2012,1.407887312,NA
OECD,QGDP,TOT,PC_CHGPP,A,2013,1.651744758,NA
OECD,QGDP,TOT,PC_CHGPP,A,2014,2.20993988,NA
OECD,QGDP,TOT,PC_CHGPP,A,2015,2.581110515,NA
OECD,QGDP,TOT,PC_CHGPP,A,2016,1.88783993,NA
OECD,QGDP,TOT,PC_CHGPP,A,2017,2.711727235,NA
OECD,QGDP,TOT,PC_CHGPP,A,2018,2.370421229,NA
OECD,QGDP,TOT,PC_CHGPP,A,2019,1.751434969,NA
OECD,QGDP,TOT,PC_CHGPP,A,2020,-4.153267648,NA
OECD,QGDP,TOT,PC_CHGPP,A,2021,5.985199542,NA
OECD,QGDP,TOT,PC_CHGPP,A,2022,2.93314542,NA
EST,QGDP,TOT,PC_CHGPP,A,1996,4.943015787,NA
EST,QGDP,TOT,PC_CHGPP,A,1997,13.050014117,NA
EST,QGDP,TOT,PC_CHGPP,A,1998,4.339832053,NA
EST,QGDP,TOT,PC_CHGPP,A,1999,-0.425026894,NA
EST,QGDP,TOT,PC_CHGPP,A,2000,10.087636986,NA
EST,QGDP,TOT,PC_CHGPP,A,2001,6.00367406,NA
EST,QGDP,TOT,PC_CHGPP,A,2002,6.771366974,NA
EST,QGDP,TOT,PC_CHGPP,A,2003,7.600265729,NA
EST,QGDP,TOT,PC_CHGPP,A,2004,6.804003009,NA
EST,QGDP,TOT,PC_CHGPP,A,2005,9.526428986,NA
EST,QGDP,TOT,PC_CHGPP,A,2006,9.765582251,NA
EST,QGDP,TOT,PC_CHGPP,A,2007,7.579142637,NA
EST,QGDP,TOT,PC_CHGPP,A,2008,-5.131999487,NA
EST,QGDP,TOT,PC_CHGPP,A,2009,-14.629059663,NA
EST,QGDP,TOT,PC_CHGPP,A,2010,2.44426636,NA
EST,QGDP,TOT,PC_CHGPP,A,2011,7.263085848,NA
EST,QGDP,TOT,PC_CHGPP,A,2012,3.228202109,NA
EST,QGDP,TOT,PC_CHGPP,A,2013,1.458430169,NA
EST,QGDP,TOT,PC_CHGPP,A,2014,3.01136295,NA
EST,QGDP,TOT,PC_CHGPP,A,2015,1.853019077,NA
EST,QGDP,TOT,PC_CHGPP,A,2016,3.155566814,NA
EST,QGDP,TOT,PC_CHGPP,A,2017,5.792042325,NA
EST,QGDP,TOT,PC_CHGPP,A,2018,3.784204487,NA
EST,QGDP,TOT,PC_CHGPP,A,2019,4.033687055,NA
EST,QGDP,TOT,PC_CHGPP,A,2020,-0.965412263,NA
EST,QGDP,TOT,PC_CHGPP,A,2021,7.249326475,NA
EST,QGDP,TOT,PC_CHGPP,A,2022,-0.461001514,NA
DEU,QGDP,TOT,PC_CHGPY,Q,1961-Q1,7.450289556,E
DEU,QGDP,TOT,PC_CHGPY,Q,1961-Q2,5.00209888,E
DEU,QGDP,TOT,PC_CHGPY,Q,1961-Q3,3.576950295,E
DEU,QGDP,TOT,PC_CHGPY,Q,1961-Q4,2.996160574,E
DEU,QGDP,TOT,PC_CHGPY,Q,1962-Q1,3.466854108,E
DEU,QGDP,TOT,PC_CHGPY,Q,1962-Q2,5.112241186,E
DEU,QGDP,TOT,PC_CHGPY,Q,1962-Q3,5.465212346,E
